"scid","sname","scity","sdist"
"1378","אלון","מבשרת ציון","ירושלים"
"1411","הראל","מבשרת ציון","ירושלים"
"1499","מולדת ","מבשרת ציון","ירושלים"
"986","יוספטל","מגדל העמק","צפון"
"1180","יגאל אלון","מגדל העמק","צפון"
"1221","האר""י","מגדל העמק","צפון"
"1518","אורט מגדל העמק","מגדל העמק","צפון"
"1595","נופים","מגדל העמק","צפון"
"1613","פנינת אור","מגדל העמק","צפון"
"1540","חב""ד בנות ","מגדל העמק ","צפון "
"1702","נופי הבשור","מגן","דרום"
"1408","צין","מדרשת בן גוריון","דרום"
"987","שבטי ישראל","מודיעין-מכבים-רעות","ירושלים"
"988","עידנים","מודיעין-מכבים-רעות","ירושלים"
"989","חוט השני","מודיעין-מכבים-רעות","ירושלים"
"1216","אופק","מודיעין-מכבים-רעות","ירושלים"
"1218","דורות","מודיעין-מכבים-רעות","ירושלים"
"1219","קשת","מודיעין-מכבים-רעות","ירושלים"
"1335","אבני חן","מודיעין-מכבים-רעות","ירושלים"
"1568","לביא","מודיעין-מכבים-רעות","ירושלים "
"1674","אולפנת אורות מודיעין","מודיעין-מכבים-רעות","ירושלים"
"1681","יוזמה","מודיעין-מכבים-רעות","ירושלים"
"1698","ישיבת בני עקיבא","מודיעין-מכבים-רעות","ירושלים"
"1319","העומר","עין כרמל","חיפה"
"990","חט''ב רבין","מזכרת בתיה","מרכז"
"1105","בן גוריון","מזכרת בתיה","מרכז"
"1106","הרצוג","מזכרת בתיה","מרכז"
"1144","קשת","מזכרת בתיה","מרכז"
"1146","ממ""ד בורג","מזכרת בתיה","מרכז"
"991","מיתר","מטה אשר בוסתן הגליל","צפון"
"992","חמד מירון","מירון","צפון"
"1212","אולפנת מירון","מירון","צפון"
"993","עמית","מיתר","דרום"
"1125","פסגות","מיתר","דרום"
"1140","חמדת","מיתר","דרום"
"1422","מיתרים","מיתר","דרום"
"994","מעלה הגליל","מעונה","צפון"
"995","תומר רחל","מעלה אדומים","ירושלים"
"1223","תל""י נופי הסלע","מעלה אדומים","ירושלים"
"1224","שדי חמד","מעלה אדומים","ירושלים"
"1225","יפה נוף","מעלה אדומים","ירושלים"
"1507","אורט דקל וילנאי","מעלה אדומים","ירושלים"
"1678","ישיבה תיכונית מעלה אדומים","מעלה אדומים","ירושלים"
"1460","נירים","מעלה אדומים ","ירושלים"
"1516","אורט מעלות","מעלות-תרשיחא","צפון"
"1247","אולפנת צביה","מעלות-תרשיחא","צפון"
"1536","משגב על יסודי ","מרום הגליל","צפון"
"996","מבועים","מרחבים","דרום"
"1406","מרחבים","מרחבים","דרום"
"1553","המכינה הקדם צבאית מרכז שפירא","מרכז שפירא","דרום"
"1592","מתן","מתן","מרכז"
"1307","דמוקרטי","נהלל","צפון"
"1535","אוסישקין","נהריה","צפון"
"1586","אבן שוהם","נהריה","צפון"
"1598","מדעים ואומנויות","נהריה","צפון"
"1655","רמז","נהריה","צפון"
"1579","נופית ","נופית","חיפה"
"1606","נילי","ניל""י","ירושלים"
"1424","נווה הרצוג","ניר גלים","דרום"
"997","ניר צבי","ניר צבי","מרכז"
"998","ראשונים","נס ציונה","מרכז"
"1297","אליעזר בן יהודה","נס ציונה","מרכז"
"1483","רעות","נס ציונה","מרכז"
"1653","אורט אלון","נצרת עילית","צפון"
"1654","כרמל","נצרת עילית","צפון"
"1522","אורט שרת","נצרת עלית","צפון"
"1321","בית יהושע","נשר","חיפה"
"1322","רבין","נשר","חיפה"
"1532","גבעון","נשר","חיפה"
"1560","Dor Dorim-Rabin","נשר","חיפה"
"1597","נתיב זבולון","מודיעין - מכבים רעות","מרכז"
"1361","חב""ד נתיבות","נתיבות","דרום"
"1548","חב""ד בנות","נתיבות ","דרום "
"999","נעמי שמר","נתניה","תל אביב"
"1000","ביאליק","נתניה","תל אביב"
"1001","שח''ל","נתניה","תל אביב"
"1002","אוסישקין","נתניה","תל אביב"
"1003","בארי","נתניה","תל אביב"
"1217","נורדאו","נתניה","תל אביב"
"1265","בגין","נתניה","תל אביב"
